Time,#Requests
3000,12300
2000,10919
4000,10264
5000,8277
1000,7918
6000,7901
8000,7722
7000,7346
9000,5894
10000,5315
12000,4921
11000,4858
13000,4640
14000,3607
15000,3548
16000,3122
17000,3006
18000,2619
19000,2391
20000,2006
22000,1774
21000,1734
23000,1559
24000,1446
25000,1229
26000,986
27000,960
28000,928
29000,851
31000,797
30000,762
32000,621
37000,477
33000,474
36000,471
34000,470
35000,463
38000,425
39000,325
40000,237
42000,162
45000,161
43000,160
46000,154
44000,153
41000,146
47000,145
48000,63
49000,3
